"mon_feature_id","sample_begin_date","sample_begin_time","sample_begin_depth","result_num_value","mon_feature_name"
86522,2023-09-06,"17:28:00",0,11,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2023-10-10,"16:20:00",0,1,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2023-11-22,"17:15:00",0,2,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2023-12-11,"09:28:00",0,11,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2024-06-11,"16:27:00",0,1,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2024-07-10,"16:15:00",0,2,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2024-08-14,"11:57:00",0,42,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2024-09-12,"16:19:00",0,5,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2024-10-08,"17:16:00",0,0.25,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2024-11-20,"15:40:00",0,3,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2025-01-22,"15:52:00",0,2,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2025-02-05,"14:48:00",0,6,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2025-04-16,"16:10:00",0,3,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
86522,2025-05-07,"16:04:00",0,0.25,"E1H003 MISGUNST 499 - @ ROAD BRIDGE ON NOORDHOEKSRIVIER"
88495,1993-11-15,"05:30:00",0,38,"ZARLU01 ARENDSFONTEIN SPRUIT AT LUIPAARDSFONTEIN (BRIDGE)"
88495,1994-02-14,"06:07:00",0,14,"ZARLU01 ARENDSFONTEIN SPRUIT AT LUIPAARDSFONTEIN (BRIDGE)"
88495,1994-05-16,"07:00:00",0,44,"ZARLU01 ARENDSFONTEIN SPRUIT AT LUIPAARDSFONTEIN (BRIDGE)"
88495,1994-08-08,"06:30:00",0,26,"ZARLU01 ARENDSFONTEIN SPRUIT AT LUIPAARDSFONTEIN (BRIDGE)"
88496,1993-11-15,"13:08:00",0,61,"ZARST01 ARNOT POWER STATION SEWAGE EFFLUENT"
88496,1994-02-15,"09:25:00",0,2,"ZARST01 ARNOT POWER STATION SEWAGE EFFLUENT"
88496,1994-05-17,"10:55:00",0,1,"ZARST01 ARNOT POWER STATION SEWAGE EFFLUENT"
88496,1994-08-09,"10:40:00",0,26,"ZARST01 ARNOT POWER STATION SEWAGE EFFLUENT"
88505,1994-02-14,"09:30:00",0,5,"ZKOGR05 DE GROOTE RIETPAN 479 JS - @ ROAD BRIDGE ON KLEIN OLIFANTSRIVIER"
88505,1994-05-16,"09:55:00",0,2,"ZKOGR05 DE GROOTE RIETPAN 479 JS - @ ROAD BRIDGE ON KLEIN OLIFANTSRIVIER"
88505,1994-08-08,"10:20:00",0,1,"ZKOGR05 DE GROOTE RIETPAN 479 JS - @ ROAD BRIDGE ON KLEIN OLIFANTSRIVIER"
88506,1993-11-15,"05:50:00",0,5,"ZKOHA06 HAMELFONTEIN D/S MINES ON KLEIN OLIFANTS"
88506,1994-02-14,"06:39:00",0,2,"ZKOHA06 HAMELFONTEIN D/S MINES ON KLEIN OLIFANTS"
